0309 WM_PAINTCLIPBOARD
030a WM_VSCROLLCLIPBOARD
030b WM_SIZECLIPBOARD
030c WM_ASKCBFORMATNAME
030d WM_CHANGECBCHAIN
030e WM_HSCROLLCLIPBOARD
030f WM_QUERYNEWPALETTE
0310 WM_PALETTEISCHANGING
0311 WM_PALETTECHANGED
0312 WM_HOTKEY
0317 WM_PRINT
0318 WM_PRINTCLIENT
0319 WM_APPCOMMAND
0358 WM_HANDHELDFIRST
035f WM_HANDHELDLAST
0360 WM_AFXFIRST
037f WM_AFXLAST
0380 WM_PENWINFIRST
0381 WM_RCRESULT
0382 WM_HOOKRCRESULT
0383 WM_GLOBALRCCHANGE
0384 WM_SKB
0385 WM_PENCTL
0386 WM_PENMISC
0387 WM_CTLINIT
0388 WM_PENEVENT
038f WM_PENWINLAST
